Title,Title_link,Thumbnail,eyebrow,time,dek
Coronavirus testing kits to be provided by South Korea after Trump call,https://www.foxnews.com/world/coronavirus-testing-kits-south-korea-trump-call,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/3df348f7-2f24-4ace-b396-c96045a98c5a/38e69786-f4c4-488f-9944-3d92f1dc2447/1280x720/match/156/88/image.jpg?ve=1&tl=1,world,3 months ago,Officials in South Korea said Wednesday that they plan to provide coronavirus testing kits to the U.S. after President Trump made a request for help to cope with the pandemic.
"Trump defends early coronavirus actions in contentious briefing, as Fauci regrets ‘poor choice of words’",https://www.foxnews.com/politics/trump-defends-early-actions-on-coronavirus-in-contentious-briefing-as-fauci-regrets-poor-choice-of-words,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/1780aed1-cd6b-49d2-923a-293b68a45edf/8c571c42-ae79-43a9-b81d-71d4934231c9/1280x720/match/156/88/image.jpg?ve=1&tl=1,politics,3 months ago,"President Trump on Monday mounted a heated defense of his response to coronavirus during a combative briefing, as Dr. Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, attempted to clarify his comment a day earlier that lives could have been saved had U.S. officials acted earlier."
Trump says there's 'light at the end of the tunnel' as White House pitches $6T coronavirus stimulus package,https://www.foxnews.com/politics/fauci-returns-to-coronavirus-briefing-as-trump-sees-light-at-the-end-of-the-tunnel,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/03/156/88/AP20084811004853-1.jpg?ve=1&tl=1,politics,3 months ago,"Saying the country was nearing the ""the end of our historic battle"" with ""the invisible enemy"" of coronavirus, President Trump on Tuesday evening emphasized his desire for the country to reopen for business by Easter -- as his top economic adviser said Congress is ""getting closer and closer"" to passing an unprecedented fiscal stimulus package."
Trump officials eye 'additional steps' after executive order on immigration,https://www.foxnews.com/politics/trump-officialsadditional-steps-executive-order-immigratioon,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/8d47d6a3-2852-4363-8f32-67e0aaf3cb22/c2a337ce-6148-48e6-b7f9-6a5bb0d5489e/1280x720/match/156/88/image.jpg?ve=1&tl=1,politics,2 months ago,"The Trump administration is eyeing “additional steps” to restrict immigration visas, just days after President Trump signed an executive order limiting immigration into the country."
"Dr. Deborah Birx on COVID-19 death toll in US, timeline for coronavirus vaccine",https://www.foxnews.com/transcript/dr-deborah-birx-on-covid-19-death-toll-in-us-timeline-for-coronavirus-vaccine,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/67b90567-2546-4bbf-a645-e66ac4207773/f948a844-3661-464d-bd74-bd1ecb5ffdb7/1280x720/match/156/88/image.jpg?ve=1&tl=1,transcript,1 month ago,"Guests: Deborah Birx, Asa Hutchinson, Mark Parkinson, Jonah Goldberg, Donna Brazile, Josh Holmes"
Trump says Americans could see a second round of stimulus payments: 'We're talking about that',https://www.foxnews.com/politics/trump-on-approving-a-second-round-of-stimulus-payments-were-talking-about-that,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/b4889ed9-cb48-4011-bba2-d43ebe9f1ef7/ac713ae1-3179-49ac-8ea3-8ad4fe1ab590/1280x720/match/156/88/image.jpg?ve=1&tl=1,politics,2 months ago,President Trump said Monday his administration was considering a second round of coronavirus stimulus payments.
Biden backs push to scrub Confederate names from military bases,https://www.foxnews.com/politics/biden-scrub-confederate-names-military-bases,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/2495906a-9c6d-4738-b4b9-faba132e5eea/fd0e6fd0-db53-4339-8801-fc0b22d49fec/1280x720/match/156/88/image.jpg?ve=1&tl=1,politics,1 month ago,Former Vice President Joe Biden says he’s backing a push to the remove the names of Confederate leaders from the Civil War from all U.S. military assets – which stands in stark contrast to President Trump’s fierce opposition earlier this week to scrub those names from 10 military bases.
Pence insists Trump hasn't told him to slow pace of coronavirus testing,https://www.foxnews.com/media/mike-pence-trump-slow-coronavirus-testing,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/04/156/88/Pence-Mask-AP-3.jpg?ve=1&tl=1,media,7 days ago,Vice President Mike Pence told a Wisconsin media outlet Tuesday that President Trump has not directed him to slow the rate of coronavirus testing despite Trump making remarks to the contrary at a weekend rally in Oklahoma and insisting the comments were not a joke.
Trump calls himself a ‘wartime president’ over coronavirus as he invokes Defense Production Act,https://www.foxnews.com/politics/trump-announces-he-is-invoking-defense-production-act-to-fight-coronavirus,https://a57.foxnews.com/cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/8b5b7376-e424-41ab-a3c9-338f9b2d102f/10ed0bff-acf1-41f9-af4c-8e0ced41e925/1280x720/match/156/88/image.jpg?ve=1&tl=1,politics,4 months ago,"President Trump on Wednesday announced that he is invoking the Defense Production Act as part of the administration’s efforts to tackle the coronavirus pandemic -- and also described himself as being a ""wartime president."""
Pence tells 'Hannity' risk of coronavirus spread in US 'remains low' thanks to Trump's 'decisive action',https://www.foxnews.com/media/mike-pence-coronavirus-risk-remains-low-trump,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2020/02/156/88/PenceHannity.jpg?ve=1&tl=1,media,4 months ago,"Vice President Mike Pence told Fox News' Sean Hannity in an exclusive interview Thursday that ""the risk of the spread of coronavirus in the United States of America remains low"" and credited what he called ""unprecedented action"" by President Trump earlier this month."
