Title,Title_link,kicker,package1,Thumbnail
Trump signs coronavirus stimulus bill with money for Americans. What happens now?,https://www.miamiherald.com/news/coronavirus/article241555311.html,Coronavirus,"March 27, 2020, 1:28 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5502557045001/a8353e27-0496-4e15-a83f-8c74d256612f/3331b62d-7d33-44bc-8b31-87c94956cc0d/1280x720/match/image.jpg
Trump pushes FDA limits in rush for coronavirus medicines,https://www.miamiherald.com/news/coronavirus/article241333236.html,Coronavirus,"March 19, 2020, 12:25 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5615998022001/741bec02-b80d-42b6-8a16-ee0ddc55e037/3a088f31-f071-46c6-b110-e9e1300af566/1280x720/match/image.jpg
"Trump dismisses virus, polls and recession to tell winning story",https://www.miamiherald.com/news/politics-government/national-politics/article243866607.html,National Politics,"June 29, 2020, 4:00 AM",
Gov. Ron DeSantis is reopening Florida ‘the conservative way’ after weeks of criticism,https://www.miamiherald.com/news/politics-government/article242364706.html,Politics,"May 4, 2020, 8:50 PM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5618154292001/84fbd5fd-60ac-4346-aab3-7b0555497659/4f10ca52-c6ed-4742-904b-089bc028fea7/1280x720/match/image.jpg
AP News in Brief at 11:04 p.m. EDT,https://www.miamiherald.com/news/nation-world/article243813067.html,Nation & World,"June 26, 2020, 11:04 PM",
"Deportations despite coronavirus is Trump’s cruel, and usual, punishment of Haitians | Opinion",https://www.miamiherald.com/opinion/editorials/article241819726.html,Editorials,"April 7, 2020, 1:00 AM",https://cf-images.us-east-1.prod.boltdns.net/v1/static/5618154292001/518e70dd-696f-4b54-a886-c1fc2b5caa0c/e76f8f0a-cd24-4cb2-a31b-71e26d9dd2c1/1280x720/match/image.jpg
Now Trump says he took coronavirus test. He dined with Brazilian officials who got ill,https://www.miamiherald.com/news/nation-world/national/article241194386.html,National,"March 14, 2020, 8:23 AM",https://www.miamiherald.com/latest-news/sp3a4b/picture241146116/alternates/LANDSCAPE_768/Make%20Brazil%20great%20again%20hats%20(cropped)%20(1)_fitted.png
"Jackson Memorial secures rapid coronavirus test touted by Trump, with DeSantis’ help",https://www.miamiherald.com/news/coronavirus/article241803376.html,Coronavirus,"April 6, 2020, 5:18 PM",https://www.miamiherald.com/latest-news/29dooh/picture241803446/alternates/LANDSCAPE_768/1215797267.JPG
Trump directed experts to see if UV light can kill coronavirus. Here are the facts,https://www.miamiherald.com/news/coronavirus/article242262471.html,Coronavirus,"April 24, 2020, 12:21 PM",https://www.miamiherald.com/latest-news/f5etf0/picture242262621/alternates/LANDSCAPE_768/AP20114827199389.jpg
US has tested 9 million for coronavirus. China plans to test 11 million in 10 days,https://www.miamiherald.com/news/coronavirus/article242670201.html,Coronavirus,"May 12, 2020, 12:29 PM",https://www.sacbee.com/latest-news/9g94t2/picture242629146/alternates/LANDSCAPE_768/LEDE_RCB_EldoTesting
